id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0981,Honda CR-V 2023,SUV,2.95,Alta
REV-0982,Chevrolet Silverado 2024,Deportivo,1.41,Muy baja
REV-0984,Toyota Hilux 2024,Sedán,2.08,Normal
REV-0985,Toyota Corolla 2023,Lujo,2.89,Alta
REV-0986,Audi A4 2024,Lujo,3.15,Alta
REV-0987,Hyundai Tucson 2024,Sedán,2.84,Normal
REV-0988,Ford Escape 2023,Camioneta,1.71,Baja
REV-0989,Ford Ranger 2023,Minivan,1.48,Muy baja
REV-0990,BMW Serie 3 2024,Deportivo,2.88,Alta
REV-0991,Honda CR-V 2023,Minivan,1.73,Baja
REV-0992,Audi A4 2024,Camioneta,1.96,Normal
REV-0993,Honda CR-V 2023,Deportivo,2.53,Normal
REV-0994,Subaru Outback 2024,Sedán,1.34,Muy baja
REV-0995,Audi A4 2024,SUV,3.38,Alta
REV-0996,Nissan Sentra 2024,Minivan,2.58,Normal
REV-0997,Nissan Frontier 2023,Lujo,1.58,Muy baja
REV-0998,Suzuki Vitara 2023,Pickup,2.90,Alta
REV-0999,Mazda 3 2024,Camioneta,2.53,Normal
REV-1000,Nissan Frontier 2023,Lujo,2.77,Normal
